,Model,Samples,Mean_fit,Max_fit
92,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5487154206247984, 0.5511589022654576, 0.5501763821285277, 0.5498821457453539, 0.5488819976988918, 0.552882468070403, 0.5513807100716863, 0.5493814475050663, 0.5483479055588583, 0.5492603050200177, 0.551379839147591, 0.5481328413611197, 0.551040854503244, 0.5488028036943592, 0.5504245931664328, 0.5514351902722534, 0.5521364773713773, 0.5514170262656894, 0.5494271784980049, 0.5525434017707948, 0.5483777598494286, 0.5496053898940321, 0.5502889507335397, 0.5501697617435348, 0.5531644058487771, 0.5504928609330701, 0.5492733067202962, 0.5508790670324385, 0.5491168019773403, 0.5502514929203485, 0.5526063544684195, 0.5530830519696297, 0.5561088389089368, 0.5551381042892705, 0.5509367652429807, 0.5535981187883761, 0.5554147586786049, 0.5533551994580599, 0.5544748877246835, 0.5546657837220215, 0.556412923273506, 0.5555798596147349, 0.5564689280521035, 0.5534465573459805, 0.5559467788870643, 0.5578263619301134, 0.5518197257064275, 0.5539559311826128, 0.55002957657438, 0.555481845472584, 0.5552153689550128, 0.5566096334419446, 0.5533464429054075, 0.5517734485626079, 0.5517511897350845, 0.5594870037083818, 0.5579372012133058, 0.5566333521859513, 0.555629929487323, 0.5533456488857912, 0.554109256613093, 0.5538955146439517, 0.5532535867669641, 0.5552024793173278, 0.5573116867511866, 0.5543019508930567, 0.5557008240178315, 0.5549307739121725, 0.5557001239017711, 0.55301089054995, 0.5560697940399248, 0.5548175403366065, 0.555825868036269, 0.5530856387106373, 0.5520945721892585, 0.5549765670623219, 0.5534965533938945, 0.5555798617335967, 0.5540696675095131, 0.554539719250285, 0.5547716210268615, 0.5556656161951764, 0.5509626614845977, 0.5581206155659678, 0.5542153892884538, 0.5543157553197857, 0.5563312583773175, 0.556229159602058, 0.5514002150108742, 0.555950021491007, 0.5517703452205743, 0.5528696901524938, 0.5555080989415488, 0.5540330274212575, 0.556570780453525, 0.5552942320338294, 0.5575821272515696, 0.555207927983347, 0.5561995588250952, 0.5550924312361672]",0.5533657066127515,0.5594870037083818
5,( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.5489881623254382, 0.5496888470095188, 0.5496019754419952, 0.5520941615868026, 0.5475777891726034, 0.5507051301921976, 0.5513575766680282, 0.5503240610702825, 0.5513437424459713, 0.5497920906224143, 0.5495366582270809, 0.5478966204544664, 0.5494432128692595, 0.549958229089976, 0.5524470530436484, 0.5520430477361553, 0.5506886094520054, 0.5517827768861354, 0.5519832975955604, 0.5490047992923395, 0.5531708562738837, 0.5503743256111915, 0.5502736568786329, 0.5492099897568312, 0.5510049363955744, 0.5505112880289741, 0.5482859428250609, 0.5488530222751037, 0.5467993785518036, 0.5501082508401057, 0.5545060655524037, 0.5555799991315085, 0.5533635604855994, 0.5517406202581374, 0.5511009073444166, 0.5550883272024644, 0.5539611261881016, 0.5527806738908712, 0.5496038875467144, 0.5551410039107681, 0.552292423655717, 0.5575984992376696, 0.5546219423297765, 0.557186963650315, 0.5544717712621247, 0.5555437031068471, 0.5555620963711143, 0.5556413098624982, 0.5544844865040119, 0.5539427653751733, 0.5527152450321542, 0.5569759373238989, 0.5563233244680863, 0.5541206031041549, 0.5545295887585854, 0.5554452764479411, 0.551124007433653, 0.5540421984715673, 0.5545739727935232, 0.5549173839474011, 0.5564025395719989, 0.5544184963248193, 0.55375458439679, 0.5550691509669482, 0.5549940829662046, 0.5550876930844566, 0.556358939714847, 0.55535769902238, 0.5541563756028508, 0.5540297304368168, 0.5537136835716461, 0.5540613793156371, 0.554183059716256, 0.5553002984993265, 0.5528768618374534, 0.5523539373991084, 0.5535211520546179, 0.5536465449622582, 0.5559015702858852, 0.5540381003461533, 0.5536725758269816, 0.5540821177147687, 0.5562233568203019, 0.555381650294739, 0.5547773629360122, 0.5543186095924255, 0.5544310436710481, 0.5539840689951009, 0.5579472326238831, 0.5543333931797776, 0.5559040200988979, 0.5576550049018479, 0.557624440155831, 0.5543496415221031, 0.5564912533407395, 0.5570166525015184, 0.5575436768291138, 0.5542509534736761, 0.5559982606099089, 0.5522225535838462]",0.5533126290801521,0.5579472326238831
85,( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.5530287050992723, 0.5496714997090391, 0.5489456364420069, 0.5479743240501392, 0.5525352040086502, 0.5490032281481539, 0.550008393406437, 0.5523542484399886, 0.5506127722294402, 0.5490520587150318, 0.5507359225099574, 0.5522763827049882, 0.5493062356727725, 0.5561498531685785, 0.5509732801825771, 0.5511949787195135, 0.5510089251407845, 0.5510507908702575, 0.549165955351182, 0.5508730096792408, 0.5492295370289942, 0.5517671651397641, 0.5500659748078414, 0.5516224741217023, 0.5492724010276193, 0.5508667738019993, 0.5487578313193512, 0.5509790170501779, 0.5493247894909071, 0.5491410289346604, 0.5553919380540973, 0.5573588618109544, 0.5525080951541588, 0.5563255595219908, 0.5538694942367265, 0.5561801270847536, 0.5551525569024608, 0.5544569097815564, 0.5553152787233262, 0.5526662767121904, 0.5535725708592353, 0.5533443771086121, 0.5514063326290164, 0.5534397745622133, 0.5522467664336671, 0.5560149995035352, 0.5572315770951056, 0.5521897930544969, 0.5544353337463876, 0.554231209497139, 0.553238834340255, 0.5536524639463213, 0.553915904490933, 0.5548681081491308, 0.5525228388592993, 0.5530782428093466, 0.5519242936983096, 0.555784496330921, 0.555796624842983, 0.5542556849872493, 0.5539863420984762, 0.5547121095478184, 0.5525928755284233, 0.5510258298633675, 0.5564886128270976, 0.5551477691903154, 0.553663264711044, 0.553516020561458, 0.5529360948877503, 0.5541793530585252, 0.5553646036150909, 0.5530524280083187, 0.5536957389621058, 0.554248363881978, 0.5553117078656249, 0.5533982419503709, 0.5536417205383153, 0.5554127725677822, 0.5555811947284718, 0.5553695386007181, 0.5533115042612298, 0.5567251389066143, 0.5550239105516712, 0.5530495541388487, 0.5533714959760769, 0.5570738329678488, 0.5526344663692832, 0.5551011271992226, 0.5549956632508125, 0.5559950409686405, 0.5528968004591946, 0.5530129948852109, 0.5548200604378305, 0.5528123890497119, 0.5532403276148349, 0.5548886254723717, 0.551458771536002, 0.5538459999439695, 0.5543285681517502, 0.5564009755521147]",0.5531163555258369,0.5573588618109544
56,( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( upstream-homophily  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,"[0.5370614333175916, 0.5370493623269397, 0.5369601684587112, 0.5380231958918622, 0.5365523268600928, 0.5386431027005729, 0.5397115601363075, 0.5359246069369823, 0.536494476137785, 0.535444699585935, 0.5372714058472994, 0.5370831046402806, 0.5358525138941914, 0.536832215242405, 0.5394727886962416, 0.5384235645428961, 0.5387919861415228, 0.5375083563411812, 0.5379077380242373, 0.5368360281584666, 0.5366669870692999, 0.5368817714269344, 0.5367860354438181, 0.5391061672287026, 0.5378639621007244, 0.5378383384437854, 0.5382960849285774, 0.536397355063807, 0.5372073751346458, 0.5398883593832926, 0.5531222934055071, 0.555459561068835, 0.5542961928300415, 0.5529409372383296, 0.555344125587369, 0.5525235215217156, 0.5557804872386101, 0.5522576667376266, 0.5549996039552807, 0.5556806699773631, 0.5534018946143615, 0.5536170336630457, 0.5523603304369366, 0.5558568319361235, 0.5569456799417191, 0.5575271741982248, 0.5547803454057803, 0.5575627337230411, 0.5538012899087975, 0.5529810389582441, 0.552905717667673, 0.554292042942419, 0.5564210320870393, 0.5543085779539948, 0.5540724261666171, 0.5546859938186247, 0.5549263881618848, 0.555447033348695, 0.5561537480744672, 0.5568255042846187, 0.5540191396113752, 0.5559200554143302, 0.5580416591515253, 0.5532329553547425, 0.5562245172609245, 0.554351369825001, 0.5549056698992569, 0.5556734442276724, 0.557470252231931, 0.5568743589724362, 0.5550024731954898, 0.555256469614051, 0.5560655294362706, 0.5539366611939246, 0.5535856999585088, 0.556644264728985, 0.5532283471079328, 0.5547158631610444, 0.5568596672945497, 0.5567308409784804, 0.5544547913492649, 0.5553133018210072, 0.5550820957379153, 0.5557161295058777, 0.5543419057693862, 0.5571680443250601, 0.553513052872463, 0.5560152807306539, 0.5538818056482142, 0.5552697224274854, 0.5544676437234264, 0.5518630423963732, 0.5563519941667646, 0.5545205739215491, 0.5551862741081846, 0.553534852374036, 0.5544519108650975, 0.5558995907780828, 0.5558886682223458, 0.554096809417643]",0.5497181167573734,0.5580416591515253
96,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( subtract (( upstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( combine (( multiply (( consider-pseudorandom  ) ) (( combine (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.5336471476659443, 0.5305536383280535, 0.5290930673775821, 0.5333768113706986, 0.5299208884764118, 0.5326249852034917, 0.5297359790759649, 0.5309016307017088, 0.532190596815814, 0.5332497729372807, 0.5412492651933007, 0.5412059761535795, 0.5430119250091638, 0.5395745305296321, 0.5441054266473521, 0.5420684350725364, 0.5406412860933174, 0.5437305512271436, 0.5404293556375263, 0.5433024541218456, 0.5410662148916772, 0.5392646242482789, 0.541421132873416, 0.5421398488995546, 0.543321926593297, 0.5433173786581333, 0.5394702720419895, 0.5399608996467199, 0.5426227807369373, 0.5385160680999669, 0.5424901796491902, 0.5435667987161833, 0.541534848769968, 0.5417247602651653, 0.5411437149585174, 0.5400394176380062, 0.5425690830220933, 0.5423363866885731, 0.5407276592138818, 0.5408447313962715, 0.5536399412931859, 0.5525843757314919, 0.5561301880521932, 0.5537562448011645, 0.5520747843566547, 0.5578224328075169, 0.5525617480539347, 0.5511942578364566, 0.5491029806485966, 0.5524316067208265, 0.5511700649127619, 0.5533373094492178, 0.5515300075621016, 0.5476101933793052, 0.5509132332352606, 0.5530258266307755, 0.5518702623383468, 0.5517474023868132, 0.5534158994234136, 0.5502059012904467, 0.55156596251564, 0.5507288664938064, 0.5474879257963932, 0.5506405267336987, 0.5550176065687306, 0.5506503034939845, 0.5474650795836067, 0.553071967357158, 0.5544690851342663, 0.5534132765182886, 0.556099694268172, 0.5518674634598983, 0.5496556357168053, 0.5534095143051417, 0.5521727878129192, 0.552178294063413, 0.5504978288854286, 0.5493378050576189, 0.5544637467902652, 0.5481672867696724, 0.5502677978317123, 0.5489045516969864, 0.5508525292965001, 0.5517757300516002, 0.5493339819717314, 0.5560309777910021, 0.5480483680173563, 0.5534860304228196, 0.550017025573471, 0.5527162405268539, 0.5544303565702413, 0.5522860074218133, 0.548935195909805, 0.5507283015697104, 0.5522882941975995, 0.5510847283983316, 0.5477634789076091, 0.5527186155961509, 0.552715181365879, 0.5518645280306339, 0.5511798962780955, 0.5501380348708679, 0.5530247739602103, 0.5481903900561127, 0.5518131770766965, 0.5512575532176648, 0.552176600373736, 0.5501415603145233, 0.5514260715088, 0.5523299362313822]",0.5470827607628856,0.5578224328075169
7,( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) )  ) ,"[0.5442823332560929, 0.5427287943035449, 0.5445866765518216, 0.543020573312505, 0.5423608711739807, 0.543823559336957, 0.539914009690684, 0.5438294709624268, 0.5427335351592045, 0.5435798176638289, 0.541983549943001, 0.5427288149859504, 0.5449358487114488, 0.5451146479166549, 0.5421994586393271, 0.5419070366752782, 0.5412245786648864, 0.5423793603135914, 0.5439972358299431, 0.542550360166285, 0.5403759248786897, 0.5406733262962476, 0.5443114971751978, 0.5433782361428388, 0.540694130848745, 0.5422384646011527, 0.5443226086454795, 0.5377587710543731, 0.5427380094362471, 0.5428529940067508, 0.5493968788485567, 0.5451447768012886, 0.5427380743449848, 0.5464232384380006, 0.5464674105092948, 0.548174723119254, 0.5461602959383859, 0.5472285917089633, 0.5468096946248869, 0.5460217650728827, 0.5481244734296278, 0.548422783054923, 0.5481581532854621, 0.5457745528905773, 0.5475665473723881, 0.547706251193674, 0.5504974145231788, 0.5455482500440578, 0.5488420345791198, 0.5460654549080093, 0.5466488492294118, 0.5463518482957579, 0.545203984674601, 0.5472579825432609, 0.5475642337715222, 0.5464228289321525, 0.5453689016074184, 0.5456387648191632, 0.546302667765535, 0.5466695672128937, 0.5470323421481615, 0.5468277982338196, 0.5479324907682679, 0.5494674249473053, 0.5470564462319822, 0.5465286450648719, 0.548021725913195, 0.549418439996104, 0.5476888744811654, 0.5470708369160335, 0.5500585770908691, 0.5493678862050243, 0.5489061227100086, 0.5505332441547179, 0.5488576041995463, 0.5462580001967485, 0.5460463363105055, 0.5472374650041569, 0.5501036564123998, 0.5484370165837836, 0.5441934374392431, 0.5484108510954271, 0.5491352957358717, 0.5467594550208567, 0.5482305598900052, 0.5450699542084979, 0.5486704018528723, 0.5460323323439998, 0.5473733831066234, 0.5463982183112173, 0.5479865682187944, 0.5470165526463967, 0.5471388757718423, 0.5473274058460165, 0.5433526574783601, 0.5447540487021058, 0.5484244291767069, 0.5491387581723699, 0.5481328951548244, 0.5479647569410296]",0.5458828726056408,0.5505332441547179
62,( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( subtract (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) )  ) ,"[0.5423285078607251, 0.5423946493787143, 0.541827742356046, 0.543670920694646, 0.5424024261358393, 0.5470305848100326, 0.5408381005899183, 0.5440787909165974, 0.54115992336633, 0.5421199060269115, 0.5445905209928115, 0.5435053578191242, 0.539595425420022, 0.5419971149754567, 0.5414091055502877, 0.5466894140303297, 0.5432008889181887, 0.5462285996458386, 0.547465957998964, 0.5437142126438945, 0.5435113755250373, 0.5426759734541423, 0.5464686952887643, 0.5449703074768153, 0.544337142835698, 0.5446184771285397, 0.5439189785286408, 0.5402166809531037, 0.5410270603450607, 0.5448851190549004, 0.5427679440082316, 0.5442926843745887, 0.5468585103436228, 0.5445176713985049, 0.5447947985179161, 0.545292621369278, 0.5455203838862491, 0.5411108325308267, 0.5448792147409502, 0.5439539201715403, 0.5419492921492659, 0.5442049135001185, 0.5448660416642016, 0.5452982692810491, 0.5420416123530793, 0.543746344239116, 0.5437915080853426, 0.5430269594452326, 0.5426947621876524, 0.5437442754022884, 0.5460034773902498, 0.5446037791828487, 0.5472960027673194, 0.5454445242182141, 0.5397728878811089, 0.5437881637620339, 0.5441886057180638, 0.5443687588137115, 0.5422449000412299, 0.5431177157731256, 0.543028343654508, 0.5445841613850047, 0.5458911103168393, 0.5439034716220214, 0.5445896572607368, 0.5423434764411162, 0.5446475190938012, 0.5448921430536168, 0.5468788425428803, 0.5440548764867602, 0.5481693792091147, 0.5418721421534672, 0.5477471693240208, 0.5457347012395581, 0.5406663636612239, 0.5434746651501707, 0.5449925018978287, 0.5462069161235931, 0.5446924100315118, 0.544233359679705, 0.5482380358384228, 0.5456504395683788, 0.5449130412449685, 0.5459242717802636, 0.5464674812206275, 0.5457231655558846, 0.5456576821893873, 0.542268545496259, 0.5443786769379806, 0.5411765597167635, 0.5483758205232673, 0.541804747389947, 0.5427254585563941, 0.5485385143783518, 0.544405411821549, 0.5466548506721431, 0.5433500570106006, 0.5434085141021929, 0.5445374963904885, 0.5468915058685826]",0.5441675282250826,0.5485385143783518
69,( get-min-one-of (( possible-decisions  ) ) (( combine (( multiply (( upstream-homophily  ) ) (( consider-relative-income  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.5324651263609047, 0.5366629531913883, 0.5353324692084498, 0.5403831533319956, 0.537256789584728, 0.5377419257005147, 0.5389639811156712, 0.5316869067494787, 0.5349325918225717, 0.5362448348123526, 0.5359384044809523, 0.5359802541437361, 0.5356688773968906, 0.5326072921868235, 0.5331400872434845, 0.536397542394625, 0.5375655548330297, 0.534158782115991, 0.5337156541364331, 0.5343435691600916, 0.5336373603879481, 0.5344128486875162, 0.5372966537500574, 0.5350440535542667, 0.5335607966253573, 0.5343424064835687, 0.5335110805881226, 0.5359619555797659, 0.5363237516519509, 0.5355128815286466, 0.5375778758005496, 0.5361864012273049, 0.5378445915204086, 0.5360284616338393, 0.5335123544606116, 0.5418005912350187, 0.537533262164396, 0.5376859551168647, 0.5393479902119152, 0.5375808251861628, 0.5363739756744215, 0.5390903826794575, 0.5330523657948997, 0.5381151560725105, 0.5382304580616483, 0.5378152720414702, 0.536778585748501, 0.5395753569962083, 0.538988136860556, 0.535347632082204, 0.5373245074261663, 0.5361091942632124, 0.5378818906278786, 0.5342934229616495, 0.5385627376790827, 0.5392480363543493, 0.538623685312692, 0.5358237802016658, 0.5374815199526861, 0.53512951103811, 0.5346688185763435, 0.5369490480436343, 0.5404749174285498, 0.5372124893742036, 0.5386322203291254, 0.5376794194647132, 0.5360404665746188, 0.5383130316208696, 0.5383519797223456, 0.5406117681530855, 0.5384060609184909, 0.5353459803825077, 0.5351495606311114, 0.5373309109603034, 0.5380264416166296, 0.5399584034645161, 0.537522158304415, 0.5370121384939737, 0.5366773771424581, 0.5386324501564065, 0.5388645536994016, 0.5337144377246186, 0.5397935238338902, 0.5367315700143025, 0.5363195913825017, 0.5381163508199602, 0.536042590756414, 0.5394142307415629, 0.5352814202351709, 0.535939549937203, 0.5352765291034022, 0.5401337305276749, 0.5376992107204581, 0.5402108443043485, 0.5414704464596444, 0.5335235537430603, 0.5385275772826137, 0.5355203092052614, 0.5388243488233756, 0.5368075074703827]",0.536809419733373,0.5418005912350187
97,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,"[0.5342739740160375, 0.5322624988645066, 0.5315347951932597, 0.5340185724246529, 0.5355739691941107, 0.533425892745323, 0.5294793004944426, 0.5329126750961302, 0.5315187555681677, 0.5303566684010204, 0.5317847627195732, 0.5287438475257715, 0.5310048601838084, 0.532064526091879, 0.5314072685588365, 0.5318385830647088, 0.5329356396689784, 0.5352100964336544, 0.5335273826051917, 0.532176513554387, 0.5331016656793582, 0.5323839552327615, 0.5335446371093338, 0.5311203229441879, 0.5340174940102054, 0.5340155679996733, 0.5320350329886404, 0.5335282568769347, 0.5317172614430583, 0.5344789205653704, 0.5352063474405049, 0.5346788347221141, 0.5332963662256252, 0.5323801451751344, 0.5298301888205043, 0.535470030185171, 0.5382773130444496, 0.5320389925326541, 0.5366599401472921, 0.5344860311399164, 0.5378824384395249, 0.5329859997751908, 0.5353872015013892, 0.5328070416572583, 0.534650471860308, 0.5355144891952178, 0.5355638785156824, 0.5357812938074212, 0.5349644538555061, 0.5376683954267776, 0.5345866575871046, 0.5356523579577632, 0.5342046775307472, 0.5358364493108649, 0.534396281783047, 0.5362759884365369, 0.5355977705568299, 0.5323954166968161, 0.5316609865555975, 0.5350414640602397, 0.535531003750106, 0.5339432560884675, 0.5332895670655897, 0.5372906072226337, 0.5335185339010935, 0.5339974754395225, 0.5360164931184326, 0.5364838698605648, 0.5356506443243284, 0.5351944984983182, 0.5364996496484951, 0.5380686997315604, 0.535912723484378, 0.533566507963902, 0.5347050413994139, 0.5336259442269953, 0.5360296160567778, 0.5369634770703821, 0.5348335564518996, 0.53504325054223, 0.5334977157896382, 0.5350996500164956, 0.5360757408612888, 0.5357694178287242, 0.5348115592218425, 0.5321502845553103, 0.5345144999268805, 0.5348934305370835, 0.5376673656549255, 0.5342264002368959, 0.5341514024011604, 0.5373330085705791, 0.5349876016153698, 0.5332210882394341, 0.533092623405619, 0.5342695669523141, 0.5349416446618134, 0.5366282402263807, 0.5351540704497235, 0.5351836415161129]",0.5342100496970983,0.5382773130444496
70,( get-min-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5326056367469569, 0.5310759598222723, 0.534242915221308, 0.5325856945288467, 0.5312733818480598, 0.5327811910817742, 0.5332758754552569, 0.5318384760669423, 0.5353555763725385, 0.5311251927445695, 0.5351968718964978, 0.5340090376761512, 0.5332000136366783, 0.5324638768247589, 0.5349668702266585, 0.5310585840874378, 0.5298846429031044, 0.533215776999078, 0.5324936451755365, 0.5353105410445992, 0.5340361380180147, 0.5317171930421721, 0.5345302328354458, 0.5318162246499927, 0.5312171146320055, 0.5342491182239414, 0.5333289892115493, 0.5325838272596539, 0.5313163182422194, 0.531470331845805, 0.5341436459713697, 0.5359714769544731, 0.5347855178976088, 0.5327711947357997, 0.5358374231894989, 0.5366679317435296, 0.5313119267711295, 0.5344272920477258, 0.5337081155733312, 0.5363042063547031, 0.5364408472519745, 0.533970861530342, 0.534186651881727, 0.5357880613281898, 0.532712710610351, 0.5354263278818917, 0.5351060035406016, 0.5339891060306897, 0.5336165255809215, 0.5343692485634673, 0.5349095501516028, 0.5336412968733407, 0.5339107725661584, 0.5337318989868849, 0.5340058767731117, 0.5374895447715452, 0.5356103620508063, 0.5341426331244117, 0.5341762035186819, 0.5325307439613652, 0.537058133025347, 0.5358811009894229, 0.5364759908635407, 0.5360038456301636, 0.5372233043872661, 0.5322027221344833, 0.5356137141346807, 0.5341209134769831, 0.5352720426835365, 0.531847675680734, 0.5327079698598216, 0.5350433227628697, 0.5363033870582897, 0.5366438705912195, 0.5344110548301074, 0.535681143442656, 0.531534442278264, 0.5327817094773851, 0.534817892689895, 0.5369909655803804, 0.5348583575675853, 0.5366715882699178, 0.5379112383095298, 0.5341102812349753, 0.5338102449123696, 0.5347109250393148, 0.5355668421016673, 0.5347407375946037, 0.5355240525301821, 0.5353390054086176, 0.5337789281351027, 0.5345906625883305, 0.5328504712211859, 0.532944071674778, 0.5349634639673451, 0.5331094808090128, 0.5368329895870267, 0.5338581226546872, 0.5334009431927254, 0.5340939467798256]",0.5341219076169288,0.5379112383095298
