Rule,Avg_fitness,n_samples
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( subtract (( upstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( combine (( multiply (( consider-pseudorandom  ) ) (( combine (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ) (( consider-random  ) )  ) )  ) ,0.561810559715319,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,0.5565345988256466,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,0.5557441168547608,2
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.5535431172451921,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( subtract (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) )  ) ,0.5434240345669193,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( multiply (( downstream-homophily  ) ) (( consider-heuristic  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) ,0.5413142345180568,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( multiply (( upstream-homophily  ) ) (( consider-relative-income  ) )  ) ) (( consider-random  ) )  ) )  ) ,0.5390364788785129,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,0.5351735256402355,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.5341063846660415,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,0.5335606880547346,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) )  ) ,0.5316382241682968,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,0.5311374740196901,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.5307636424246563,3
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.529676516761123,2
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,0.5292554175380271,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-heuristic  ) ) (( combine (( upstream-homophily  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,0.5280408349002006,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) ,0.5253642695235292,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( upstream-homophily  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,0.5251128661615777,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,0.5214197182761773,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( multiply (( multiply (( consider-heuristic  ) ) (( consider-altruism  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,0.5104297868486409,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( multiply (( consider-altruism  ) ) (( consider-random  ) )  ) ) (( combine (( consider-utilitarian  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,0.5100260628996065,1
( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( consider-pseudorandom  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,0.505730201575146,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) ,0.5024748984683937,1
( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,0.5024508867805579,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,0.5021518436805157,2
( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,0.5019815600488491,1
( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( downstream-homophily  ) )  ) )  ) ,0.5006064210650523,1
( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,0.5002006653271277,1
( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( consider-random  ) )  ) )  ) ,0.49984208140577535,2
( get-max-one-of (( possible-decisions  ) ) (( subtract (( upstream-homophily  ) ) (( consider-random  ) )  ) )  ) ,0.4993223263425885,3
( get-max-one-of (( possible-decisions  ) ) (( combine (( combine (( downstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( subtract (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,0.4990207103669572,1
( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.49858910779602017,106
