Run,Gen,Rule,Fitness,combine,consider_altruism,consider_heuristic,consider_pseudorandom,consider_random,consider_relative_income,consider_selfishness,consider_utilitarian,downstream_homophily,get_max_one_of,get_min_one_of,multiply,possible_decisions,subtract,upstream_homophily
0,0,( get-max-one-of (( possible-decisions  ) ) (( upstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,( get-max-one-of (( possible-decisions  ) ) (( upstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,( get-max-one-of (( possible-decisions  ) ) (( upstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,2,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,2,( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,2,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,2,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,2,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,3,( get-max-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,4,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,4,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,4,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,4,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,4,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,5,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,5,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,5,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,5,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,5,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,6,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,6,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,6,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,6,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,6,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,7,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,7,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,7,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,7,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,7,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,8,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,8,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,8,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,8,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,8,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,9,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,9,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,9,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,9,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,9,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,10,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,10,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,10,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,10,( get-max-one-of (( possible-decisions  ) ) (( multiply (( divide (( consider-utilitarian  ) ) (( consider-pseudorandom  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) ,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0
0,10,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,11,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,11,( get-max-one-of (( possible-decisions  ) ) (( consider-selfishness  ) )  ) ,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,11,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,11,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,11,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,12,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,12,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,12,( get-max-one-of (( possible-decisions  ) ) (( consider-selfishness  ) )  ) ,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,12,( get-max-one-of (( possible-decisions  ) ) (( consider-selfishness  ) )  ) ,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,12,( get-max-one-of (( possible-decisions  ) ) (( downstream-homophily  ) )  ) ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
