,Model,Samples,Mean_fit,Max_fit
85,( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.5530287050992723, 0.5496714997090391, 0.5489456364420069, 0.5479743240501392, 0.5525352040086502, 0.5490032281481539, 0.550008393406437, 0.5523542484399886, 0.5506127722294402, 0.5490520587150318, 0.5507359225099574, 0.5522763827049882, 0.5493062356727725, 0.5561498531685785, 0.5509732801825771, 0.5511949787195135, 0.5510089251407845, 0.5510507908702575, 0.549165955351182, 0.5508730096792408, 0.5492295370289942, 0.5517671651397641, 0.5500659748078414, 0.5516224741217023, 0.5492724010276193, 0.5508667738019993, 0.5487578313193512, 0.5509790170501779, 0.5493247894909071, 0.5491410289346604]",0.5505649465657009,0.5561498531685785
92,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5487154206247984, 0.5511589022654576, 0.5501763821285277, 0.5498821457453539, 0.5488819976988918, 0.552882468070403, 0.5513807100716863, 0.5493814475050663, 0.5483479055588583, 0.5492603050200177, 0.551379839147591, 0.5481328413611197, 0.551040854503244, 0.5488028036943592, 0.5504245931664328, 0.5514351902722534, 0.5521364773713773, 0.5514170262656894, 0.5494271784980049, 0.5525434017707948, 0.5483777598494286, 0.5496053898940321, 0.5502889507335397, 0.5501697617435348, 0.5531644058487771, 0.5504928609330701, 0.5492733067202962, 0.5508790670324385, 0.5491168019773403, 0.5502514929203485]",0.5502809229464245,0.5531644058487771
5,( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.5489881623254382, 0.5496888470095188, 0.5496019754419952, 0.5520941615868026, 0.5475777891726034, 0.5507051301921976, 0.5513575766680282, 0.5503240610702825, 0.5513437424459713, 0.5497920906224143, 0.5495366582270809, 0.5478966204544664, 0.5494432128692595, 0.549958229089976, 0.5524470530436484, 0.5520430477361553, 0.5506886094520054, 0.5517827768861354, 0.5519832975955604, 0.5490047992923395, 0.5531708562738837, 0.5503743256111915, 0.5502736568786329, 0.5492099897568312, 0.5510049363955744, 0.5505112880289741, 0.5482859428250609, 0.5488530222751037, 0.5467993785518036, 0.5501082508401057]",0.5501616496206346,0.5531708562738837
62,( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( subtract (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) )  ) ,"[0.5423285078607251, 0.5423946493787143, 0.541827742356046, 0.543670920694646, 0.5424024261358393, 0.5470305848100326, 0.5408381005899183, 0.5440787909165974, 0.54115992336633, 0.5421199060269115, 0.5445905209928115, 0.5435053578191242, 0.539595425420022, 0.5419971149754567, 0.5414091055502877, 0.5466894140303297, 0.5432008889181887, 0.5462285996458386, 0.547465957998964, 0.5437142126438945, 0.5435113755250373, 0.5426759734541423, 0.5464686952887643, 0.5449703074768153, 0.544337142835698, 0.5446184771285397, 0.5439189785286408, 0.5402166809531037, 0.5410270603450607, 0.5448851190549004]",0.5434292653573795,0.547465957998964
7,( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) )  ) ,"[0.5442823332560929, 0.5427287943035449, 0.5445866765518216, 0.543020573312505, 0.5423608711739807, 0.543823559336957, 0.539914009690684, 0.5438294709624268, 0.5427335351592045, 0.5435798176638289, 0.541983549943001, 0.5427288149859504, 0.5449358487114488, 0.5451146479166549, 0.5421994586393271, 0.5419070366752782, 0.5412245786648864, 0.5423793603135914, 0.5439972358299431, 0.542550360166285, 0.5403759248786897, 0.5406733262962476, 0.5443114971751978, 0.5433782361428388, 0.540694130848745, 0.5422384646011527, 0.5443226086454795, 0.5377587710543731, 0.5427380094362471, 0.5428529940067508]",0.5426408165447713,0.5451146479166549
96,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( subtract (( upstream-homophily  ) ) (( consider-utilitarian  ) )  ) ) (( combine (( multiply (( consider-pseudorandom  ) ) (( combine (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.5336471476659443, 0.5305536383280535, 0.5290930673775821, 0.5333768113706986, 0.5299208884764118, 0.5326249852034917, 0.5297359790759649, 0.5309016307017088, 0.532190596815814, 0.5332497729372807, 0.5412492651933007, 0.5412059761535795, 0.5430119250091638, 0.5395745305296321, 0.5441054266473521, 0.5420684350725364, 0.5406412860933174, 0.5437305512271436, 0.5404293556375263, 0.5433024541218456, 0.5410662148916772, 0.5392646242482789, 0.541421132873416, 0.5421398488995546, 0.543321926593297, 0.5433173786581333, 0.5394702720419895, 0.5399608996467199, 0.5426227807369373, 0.5385160680999669, 0.5424901796491902, 0.5435667987161833, 0.541534848769968, 0.5417247602651653, 0.5411437149585174, 0.5400394176380062, 0.5425690830220933, 0.5423363866885731, 0.5407276592138818, 0.5408447313962715]",0.5390673112661543,0.5441054266473521
56,( get-max-one-of (( possible-decisions  ) ) (( subtract (( downstream-homophily  ) ) (( subtract (( upstream-homophily  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,"[0.5370614333175916, 0.5370493623269397, 0.5369601684587112, 0.5380231958918622, 0.5365523268600928, 0.5386431027005729, 0.5397115601363075, 0.5359246069369823, 0.536494476137785, 0.535444699585935, 0.5372714058472994, 0.5370831046402806, 0.5358525138941914, 0.536832215242405, 0.5394727886962416, 0.5384235645428961, 0.5387919861415228, 0.5375083563411812, 0.5379077380242373, 0.5368360281584666, 0.5366669870692999, 0.5368817714269344, 0.5367860354438181, 0.5391061672287026, 0.5378639621007244, 0.5378383384437854, 0.5382960849285774, 0.536397355063807, 0.5372073751346458, 0.5398883593832926]",0.537492569003503,0.5398883593832926
69,( get-min-one-of (( possible-decisions  ) ) (( combine (( multiply (( upstream-homophily  ) ) (( consider-relative-income  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.5324651263609047, 0.5366629531913883, 0.5353324692084498, 0.5403831533319956, 0.537256789584728, 0.5377419257005147, 0.5389639811156712, 0.5316869067494787, 0.5349325918225717, 0.5362448348123526, 0.5359384044809523, 0.5359802541437361, 0.5356688773968906, 0.5326072921868235, 0.5331400872434845, 0.536397542394625, 0.5375655548330297, 0.534158782115991, 0.5337156541364331, 0.5343435691600916, 0.5336373603879481, 0.5344128486875162, 0.5372966537500574, 0.5350440535542667, 0.5335607966253573, 0.5343424064835687, 0.5335110805881226, 0.5359619555797659, 0.5363237516519509, 0.5355128815286466]",0.5353596846269105,0.5403831533319956
23,( get-max-one-of (( possible-decisions  ) ) (( multiply (( combine (( consider-pseudorandom  ) ) (( consider-heuristic  ) )  ) ) (( subtract (( consider-utilitarian  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,"[0.5329040044511337, 0.5314881842181927, 0.5339647141078395, 0.5323674781370341, 0.533158054169216, 0.5378904022039591, 0.5348568368133815, 0.5361116426502935, 0.5380018129288887, 0.5333691441503635, 0.5378601295245349, 0.5350706999090538, 0.5380866833069892, 0.5352685928443361, 0.5370907285436388, 0.5328843196095904, 0.5380166226363113, 0.5306492181572928, 0.5358124186123517, 0.5362797170098, 0.5353250803626944, 0.5349621789791987, 0.537502621221818, 0.5361973126223117, 0.5339804671128467, 0.5366636798573899, 0.534619192868518, 0.5357422775481564, 0.5362553502600713, 0.5357190850081441]",0.5352699549941783,0.5380866833069892
70,( get-min-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5326056367469569, 0.5310759598222723, 0.534242915221308, 0.5325856945288467, 0.5312733818480598, 0.5327811910817742, 0.5332758754552569, 0.5318384760669423, 0.5353555763725385, 0.5311251927445695, 0.5351968718964978, 0.5340090376761512, 0.5332000136366783, 0.5324638768247589, 0.5349668702266585, 0.5310585840874378, 0.5298846429031044, 0.533215776999078, 0.5324936451755365, 0.5353105410445992, 0.5340361380180147, 0.5317171930421721, 0.5345302328354458, 0.5318162246499927, 0.5312171146320055, 0.5342491182239414, 0.5333289892115493, 0.5325838272596539, 0.5313163182422194, 0.531470331845805]",0.5328075082773275,0.5353555763725385
97,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( subtract (( subtract (( upstream-homophily  ) ) (( combine (( consider-random  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,"[0.5342739740160375, 0.5322624988645066, 0.5315347951932597, 0.5340185724246529, 0.5355739691941107, 0.533425892745323, 0.5294793004944426, 0.5329126750961302, 0.5315187555681677, 0.5303566684010204, 0.5317847627195732, 0.5287438475257715, 0.5310048601838084, 0.532064526091879, 0.5314072685588365, 0.5318385830647088, 0.5329356396689784, 0.5352100964336544, 0.5335273826051917, 0.532176513554387, 0.5331016656793582, 0.5323839552327615, 0.5335446371093338, 0.5311203229441879, 0.5340174940102054, 0.5340155679996733, 0.5320350329886404, 0.5335282568769347, 0.5317172614430583, 0.5344789205653704]",0.5325331232417987,0.5355739691941107
41,( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-heuristic  ) ) (( multiply (( consider-heuristic  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,"[0.5306097159770755, 0.5320944197559754, 0.5332484880963089, 0.5327382073823755, 0.5304127738675273, 0.5263827625981276, 0.5339986593890108, 0.5285762092452688, 0.5270885728375634, 0.5287011470089176, 0.5325399974642104, 0.5330548739768242, 0.534879556440558, 0.5307881363358704, 0.5307016229916968, 0.5318318899755161, 0.5318595793165923, 0.5359592684989848, 0.5311662556954982, 0.5345901224202403, 0.5298616030232192, 0.5292809504954537, 0.5324535641095798, 0.5308800998247741, 0.5289722024995475, 0.5290367997458475, 0.5304967297960138, 0.5313080246422512, 0.5343515437264531, 0.5325952602147055]",0.5313486345783996,0.5359592684989848
